Anno evento;Genere;Eta decesso;Cittadinanza;Luogo residenza;Numerosità
2003;Femmine;0;Filippine;Milano;1
2003;Femmine;0;Italia;Altro comune italiano;27
2003;Femmine;0;Italia;Estero;2
2003;Femmine;0;Italia;Milano;15
2003;Femmine;0;Moldova;Estero;1
2003;Femmine;0;Romania;Estero;1
2003;Femmine;0;Tunisia;Estero;1
2003;Femmine;1;Italia;Altro comune italiano;1
2003;Femmine;2;Italia;Altro comune italiano;2
2003;Femmine;6;Italia;Milano;1
2003;Femmine;8;Malaysia;Estero;1
2003;Femmine;9;Italia;Altro comune italiano;1
2003;Femmine;11;Italia;Altro comune italiano;2
2003;Femmine;12;Italia;Altro comune italiano;1
2003;Femmine;13;Italia;Milano;1
2003;Femmine;15;Italia;Milano;1
2003;Femmine;16;Italia;Altro comune italiano;1
2003;Femmine;17;Filippine;Milano;1
2003;Femmine;18;Italia;Altro comune italiano;1
2003;Femmine;18;Libia;Estero;1
2003;Femmine;19;Italia;Altro comune italiano;1
2003;Femmine;19;Italia;Milano;1
2003;Femmine;20;Italia;Milano;2
2003;Femmine;21;Italia;Altro comune italiano;3
2003;Femmine;22;Italia;Altro comune italiano;1
2003;Femmine;23;Italia;Altro comune italiano;3
2003;Femmine;23;Romania;Estero;1
2003;Femmine;24;Italia;Milano;1
2003;Femmine;25;Italia;Altro comune italiano;2
2003;Femmine;25;Italia;Milano;1
2003;Femmine;26;Ecuador;Estero;1
2003;Femmine;26;Italia;Altro comune italiano;2
2003;Femmine;26;Italia;Milano;3
2003;Femmine;27;Italia;Altro comune italiano;1
2003;Femmine;27;Italia;Estero;1
2003;Femmine;27;Italia;Milano;1
2003;Femmine;27;Marocco;Estero;1
2003;Femmine;28;Italia;Altro comune italiano;2
2003;Femmine;28;Italia;Milano;2
2003;Femmine;29;Italia;Altro comune italiano;2
2003;Femmine;29;Italia;Milano;1
2003;Femmine;30;Italia;Altro comune italiano;2
2003;Femmine;30;Italia;Milano;2
2003;Femmine;30;Pakistan;Altro comune italiano;1
2003;Femmine;31;Italia;Altro comune italiano;2
2003;Femmine;31;Italia;Milano;1
2003;Femmine;31;Nigeria;Altro comune italiano;1
2003;Femmine;32;Italia;Altro comune italiano;2
2003;Femmine;32;Italia;Milano;5
2003;Femmine;32;Perù;Milano;1
2003;Femmine;33;Italia;Altro comune italiano;2
2003;Femmine;33;Italia;Milano;4
2003;Femmine;34;Italia;Altro comune italiano;1
2003;Femmine;34;Italia;Milano;6
2003;Femmine;34;Tanzania;Estero;1
2003;Femmine;35;Italia;Altro comune italiano;4
2003;Femmine;35;Italia;Milano;3
2003;Femmine;36;Eritrea;Estero;1
2003;Femmine;36;Italia;Altro comune italiano;6
2003;Femmine;36;Italia;Milano;4
2003;Femmine;37;Italia;Altro comune italiano;3
2003;Femmine;37;Italia;Milano;7
2003;Femmine;38;Italia;Altro comune italiano;2
2003;Femmine;38;Italia;Milano;5
2003;Femmine;39;Italia;Altro comune italiano;5
2003;Femmine;39;Italia;Milano;5
2003;Femmine;40;Italia;Altro comune italiano;1
2003;Femmine;40;Italia;Milano;7
2003;Femmine;41;Italia;Altro comune italiano;4
2003;Femmine;41;Italia;Estero;1
2003;Femmine;41;Italia;Milano;6
2003;Femmine;42;Italia;Altro comune italiano;5
2003;Femmine;42;Italia;Milano;11
2003;Femmine;43;Italia;Altro comune italiano;10
2003;Femmine;43;Italia;Milano;7
2003;Femmine;43;Romania;Estero;1
2003;Femmine;44;Eritrea;Estero;1
2003;Femmine;44;Italia;Altro comune italiano;8
2003;Femmine;44;Italia;Milano;9
2003;Femmine;45;Italia;Altro comune italiano;4
2003;Femmine;45;Italia;Estero;1
2003;Femmine;45;Italia;Milano;16
2003;Femmine;46;Italia;Altro comune italiano;7
2003;Femmine;46;Italia;Milano;9
2003;Femmine;47;Ecuador;Milano;1
2003;Femmine;47;Italia;Altro comune italiano;10
2003;Femmine;47;Italia;Estero;1
2003;Femmine;47;Italia;Milano;10
2003;Femmine;47;Sri Lanka (ex Ceylon);Milano;1
2003;Femmine;48;Italia;Altro comune italiano;5
2003;Femmine;48;Italia;Milano;11
2003;Femmine;48;Ungheria;Estero;1
2003;Femmine;49;El Salvador;Milano;1
2003;Femmine;49;Italia;Altro comune italiano;6
2003;Femmine;49;Italia;Milano;9
2003;Femmine;49;Moldova;Estero;1
2003;Femmine;49;Ucraina;Estero;1
2003;Femmine;50;Italia;Altro comune italiano;3
2003;Femmine;50;Italia;Milano;15
2003;Femmine;51;Italia;Altro comune italiano;10
2003;Femmine;51;Italia;Milano;19
2003;Femmine;52;Filippine;Milano;1
2003;Femmine;52;Italia;Altro comune italiano;5
2003;Femmine;52;Italia;Estero;2
2003;Femmine;52;Italia;Milano;12
2003;Femmine;53;Italia;Altro comune italiano;16
2003;Femmine;53;Italia;Estero;1
2003;Femmine;53;Italia;Milano;15
2003;Femmine;54;Italia;Altro comune italiano;15
2003;Femmine;54;Italia;Milano;25
2003;Femmine;55;Italia;Altro comune italiano;11
2003;Femmine;55;Italia;Milano;11
2003;Femmine;56;Italia;Altro comune italiano;11
2003;Femmine;56;Italia;Milano;30
2003;Femmine;57;Filippine;Milano;1
2003;Femmine;57;Italia;Altro comune italiano;12
2003;Femmine;57;Italia;Milano;35
2003;Femmine;58;Italia;Altro comune italiano;8
2003;Femmine;58;Italia;Milano;16
2003;Femmine;59;Italia;Altro comune italiano;4
2003;Femmine;59;Italia;Milano;28
2003;Femmine;60;Italia;Altro comune italiano;7
2003;Femmine;60;Italia;Estero;1
2003;Femmine;60;Italia;Milano;32
2003;Femmine;61;Italia;Altro comune italiano;16
2003;Femmine;61;Italia;Milano;45
2003;Femmine;62;Italia;Altro comune italiano;20
2003;Femmine;62;Italia;Estero;1
2003;Femmine;62;Italia;Milano;35
2003;Femmine;63;Haiti;Milano;1
2003;Femmine;63;Italia;Altro comune italiano;21
2003;Femmine;63;Italia;Milano;40
2003;Femmine;64;Italia;Altro comune italiano;19
2003;Femmine;64;Italia;Estero;1
2003;Femmine;64;Italia;Milano;55
2003;Femmine;65;Italia;Altro comune italiano;20
2003;Femmine;65;Italia;Milano;60
2003;Femmine;66;Italia;Altro comune italiano;22
2003;Femmine;66;Italia;Estero;1
2003;Femmine;66;Italia;Milano;55
2003;Femmine;67;Italia;Altro comune italiano;17
2003;Femmine;67;Italia;Milano;71
2003;Femmine;67;Paesi Bassi;Estero;1
2003;Femmine;68;Italia;Altro comune italiano;14
2003;Femmine;68;Italia;Estero;1
2003;Femmine;68;Italia;Milano;77
2003;Femmine;68;Russa, Federazione;Estero;1
2003;Femmine;69;Italia;Altro comune italiano;31
2003;Femmine;69;Italia;Milano;82
2003;Femmine;70;Italia;Altro comune italiano;28
2003;Femmine;70;Italia;Milano;83
2003;Femmine;71;Italia;Altro comune italiano;16
