Anno evento;Residenza;Genere;Età decesso;Gruppi cause morte;Cause morte;Cause morte violenta;Tipologia morte violenta;Numerosità
2003;Milano;Femmine;0;Malattie del sangue, degli organi ematopoietici e alcuni disturbi immunitari;Anemie;;;1
2003;Milano;Femmine;0;Condizioni morbose perinatali;Immaturità;;;6
2003;Milano;Femmine;0;Condizioni morbose perinatali;Traumatismi ostetrici;;;1
2003;Milano;Femmine;0;Malformazioni congenite, anomalie cromosomiche;Malformazioni congenite, anomalie cromosomiche;;;4
2003;Milano;Femmine;0;Sintomi, segni e risultati anormali di esami clinici e di laboratorio;Morti improvvise da causa sconosciuta;;;4
2003;Milano;Femmine;6;Malattie del sistema respiratorio;Polmonite;;;1
2003;Milano;Femmine;13;Malattie endocrine, nutrizionali e metaboliche;Diabete mellito;;;1
2003;Milano;Femmine;15;Cause esterne di morbosità e mortalità;Suicidio;Suicidio;Suicidio;1
2003;Milano;Femmine;17;Tumori;Tumori maligni di osso e cartilagine articolare;;;1
2003;Milano;Femmine;19;Malattie del sistema circolatorio;Altre malattie del cuore;;;1
2003;Milano;Femmine;20;Malattie del sistema respiratorio;Polmonite;;;1
2003;Milano;Femmine;20;Cause esterne di morbosità e mortalità;Accidenti da trasporto;Accidenti da trasporto;Accidentale;1
2003;Milano;Femmine;24;Tumori;Tumori maligni dell'intestino;;;1
2003;Milano;Femmine;25;Cause esterne di morbosità e mortalità;Accidenti da trasporto;Accidenti da trasporto;Accidentale;1
2003;Milano;Femmine;26;Malattie infettive e parassitarie;AIDS;;;1
2003;Milano;Femmine;26;Malattie del sistema respiratorio;Polmonite;;;1
2003;Milano;Femmine;26;Cause esterne di morbosità e mortalità;Suicidio;Suicidio;Suicidio;1
2003;Milano;Femmine;27;Malattie del sistema circolatorio;Altre malattie del cuore;;;1
2003;Milano;Femmine;28;Cause esterne di morbosità e mortalità;Altre cause esterne di traumatismo accidentale;Altre cause esterne di traumatismo accidentale;Accidentale;1
2003;Milano;Femmine;28;Cause esterne di morbosità e mortalità;Omicidio;Omicidio;Omicidio;1
2003;Milano;Femmine;29;Malattie del sistema circolatorio;Altre malattie del sistema circolatorio;;;1
2003;Milano;Femmine;30;Tumori;Tumori maligni dell'intestino;;;1
2003;Milano;Femmine;30;Cause esterne di morbosità e mortalità;Suicidio;Suicidio;Suicidio;1
2003;Milano;Femmine;31;Malattie infettive e parassitarie;AIDS;;;1
2003;Milano;Femmine;32;Malattie infettive e parassitarie;AIDS;;;1
2003;Milano;Femmine;32;Tumori;Tumori maligni della trachea, bronchi, polmoni;;;1
2003;Milano;Femmine;32;Tumori;Tumori maligni della mammella;;;1
2003;Milano;Femmine;32;Tumori;Altri tumori maligni dei tessuti linfatici;;;1
2003;Milano;Femmine;32;Cause esterne di morbosità e mortalità;Suicidio;Suicidio;Suicidio;2
2003;Milano;Femmine;33;Tumori;Tumori maligni dell'utero;;;1
2003;Milano;Femmine;33;Malattie del sistema nervoso;Altre malattie del sistema nervoso;;;1
2003;Milano;Femmine;33;Cause esterne di morbosità e mortalità;Accidenti da trasporto;Accidenti da trasporto;Accidentale;1
2003;Milano;Femmine;33;Cause esterne di morbosità e mortalità;Altre cause esterne di traumatismo accidentale;Altre cause esterne di traumatismo accidentale;Accidentale;1
2003;Milano;Femmine;34;Tumori;Leucemie;;;1
2003;Milano;Femmine;34;Disturbi psichici e comportamentali;Disturbi comportamentali;;;1
2003;Milano;Femmine;34;Malattie del sistema respiratorio;Bronchite;;;1
2003;Milano;Femmine;34;Malattie dell'apparato digerente;Cirrosi fegato;;;1
2003;Milano;Femmine;34;Cause esterne di morbosità e mortalità;Suicidio;Suicidio;Suicidio;2
2003;Milano;Femmine;35;Malattie infettive e parassitarie;AIDS;;;1
2003;Milano;Femmine;35;Malattie del sistema circolatorio;Emorragia cerebrale;;;1
2003;Milano;Femmine;35;Cause esterne di morbosità e mortalità;Suicidio;Suicidio;Suicidio;1
2003;Milano;Femmine;36;Tumori;Altri tumori maligni dei tessuti linfatici;;;1
2003;Milano;Femmine;36;Malattie del sistema nervoso;Malattie infiammatorie del sistema nervoso;;;1
