Anno_evento;Quartiere;Genere;Età_decesso;Cittadinanza;Luogo_decesso;Numerosità
2003;;Maschi;46;Italia;Milano;1
2003;Adriano;Femmine;47;Italia;Fuori Milano;1
2003;Adriano;Femmine;50;Italia;Milano;1
2003;Adriano;Femmine;56;Italia;Milano;1
2003;Adriano;Femmine;59;Italia;Milano;1
2003;Adriano;Femmine;64;Italia;Milano;1
2003;Adriano;Femmine;65;Italia;Milano;1
2003;Adriano;Femmine;70;Italia;Fuori Milano;1
2003;Adriano;Femmine;70;Italia;Milano;1
2003;Adriano;Femmine;72;Italia;Milano;1
2003;Adriano;Femmine;73;Italia;Fuori Milano;2
2003;Adriano;Femmine;74;Italia;Milano;2
2003;Adriano;Femmine;76;Italia;Milano;1
2003;Adriano;Femmine;78;Italia;Fuori Milano;2
2003;Adriano;Femmine;79;Italia;Milano;1
2003;Adriano;Femmine;80;Italia;Fuori Milano;1
2003;Adriano;Femmine;82;Italia;Fuori Milano;1
2003;Adriano;Femmine;83;Italia;Fuori Milano;1
2003;Adriano;Femmine;83;Italia;Milano;2
2003;Adriano;Femmine;84;Italia;Fuori Milano;2
2003;Adriano;Femmine;84;Italia;Milano;2
2003;Adriano;Femmine;85;Italia;Milano;1
2003;Adriano;Femmine;88;Italia;Fuori Milano;1
2003;Adriano;Femmine;88;Italia;Milano;2
2003;Adriano;Femmine;89;Italia;Fuori Milano;1
2003;Adriano;Femmine;89;Italia;Milano;2
2003;Adriano;Femmine;91;Italia;Fuori Milano;1
2003;Adriano;Femmine;91;Italia;Milano;1
2003;Adriano;Femmine;92;Italia;Milano;1
2003;Adriano;Femmine;93;Italia;Fuori Milano;1
2003;Adriano;Femmine;95;Italia;Milano;2
2003;Adriano;Femmine;96;Italia;Milano;1
2003;Adriano;Maschi;38;Italia;Milano;1
2003;Adriano;Maschi;41;Italia;Milano;1
2003;Adriano;Maschi;45;Italia;Milano;1
2003;Adriano;Maschi;53;Italia;Fuori Milano;1
2003;Adriano;Maschi;54;Italia;Fuori Milano;1
2003;Adriano;Maschi;54;Italia;Milano;1
2003;Adriano;Maschi;55;Italia;Fuori Milano;1
2003;Adriano;Maschi;63;Italia;Milano;1
2003;Adriano;Maschi;64;Italia;Milano;1
2003;Adriano;Maschi;65;Italia;Milano;1
2003;Adriano;Maschi;67;Italia;Milano;1
2003;Adriano;Maschi;69;Italia;Milano;1
2003;Adriano;Maschi;70;Italia;Fuori Milano;1
2003;Adriano;Maschi;72;Italia;Fuori Milano;1
2003;Adriano;Maschi;73;Italia;Fuori Milano;2
2003;Adriano;Maschi;73;Italia;Milano;2
2003;Adriano;Maschi;74;Italia;Milano;1
2003;Adriano;Maschi;76;Italia;Fuori Milano;1
2003;Adriano;Maschi;77;Italia;Fuori Milano;1
2003;Adriano;Maschi;79;Italia;Milano;2
2003;Adriano;Maschi;80;Italia;Fuori Milano;1
2003;Adriano;Maschi;82;Italia;Milano;2
