Anno evento;Zona;Genere;Età decesso;Cittadinanza;Luogo decesso;Numerosità
2003;;Maschi;46;Italia;Milano;1
2003;1;Femmine;0;Italia;Milano;5
2003;1;Femmine;13;Italia;Milano;1
2003;1;Femmine;23;Italia;Fuori Milano;1
2003;1;Femmine;34;Italia;Milano;1
2003;1;Femmine;35;Italia;Milano;1
2003;1;Femmine;38;Italia;Fuori Milano;1
2003;1;Femmine;38;Italia;Milano;1
2003;1;Femmine;39;Italia;Milano;1
2003;1;Femmine;40;Italia;Fuori Milano;1
2003;1;Femmine;40;Italia;Milano;1
2003;1;Femmine;41;Italia;Milano;1
2003;1;Femmine;42;Italia;Milano;1
2003;1;Femmine;43;Italia;Fuori Milano;1
2003;1;Femmine;45;Italia;Milano;2
2003;1;Femmine;46;Italia;Milano;1
2003;1;Femmine;47;Italia;Milano;1
2003;1;Femmine;48;Italia;Milano;2
2003;1;Femmine;49;Italia;Milano;2
2003;1;Femmine;51;Italia;Milano;4
2003;1;Femmine;52;Filippine;Milano;1
2003;1;Femmine;52;Italia;Milano;2
2003;1;Femmine;53;Italia;Milano;1
2003;1;Femmine;54;Italia;Fuori Milano;4
2003;1;Femmine;54;Italia;Milano;4
2003;1;Femmine;55;Italia;Fuori Milano;1
2003;1;Femmine;56;Italia;Fuori Milano;1
2003;1;Femmine;56;Italia;Milano;3
2003;1;Femmine;57;Italia;Fuori Milano;2
2003;1;Femmine;57;Italia;Milano;3
2003;1;Femmine;59;Italia;Fuori Milano;1
2003;1;Femmine;59;Italia;Milano;2
2003;1;Femmine;60;Italia;Fuori Milano;1
2003;1;Femmine;60;Italia;Milano;4
2003;1;Femmine;61;Italia;Milano;3
2003;1;Femmine;62;Italia;Milano;3
2003;1;Femmine;63;Italia;Fuori Milano;2
2003;1;Femmine;63;Italia;Milano;7
2003;1;Femmine;64;Italia;Fuori Milano;1
2003;1;Femmine;64;Italia;Milano;5
2003;1;Femmine;65;Italia;Milano;6
2003;1;Femmine;66;Italia;Fuori Milano;1
2003;1;Femmine;66;Italia;Milano;5
2003;1;Femmine;67;Italia;Fuori Milano;1
2003;1;Femmine;67;Italia;Milano;2
2003;1;Femmine;68;Italia;Fuori Milano;1
2003;1;Femmine;68;Italia;Milano;3
2003;1;Femmine;69;Italia;Fuori Milano;1
2003;1;Femmine;69;Italia;Milano;2
2003;1;Femmine;70;Italia;Milano;3
2003;1;Femmine;71;Italia;Fuori Milano;2
2003;1;Femmine;71;Italia;Milano;2
2003;1;Femmine;72;Italia;Fuori Milano;2
2003;1;Femmine;72;Italia;Milano;10
2003;1;Femmine;73;Italia;Fuori Milano;2
2003;1;Femmine;73;Italia;Milano;5
2003;1;Femmine;74;Italia;Fuori Milano;2
2003;1;Femmine;74;Italia;Milano;15
2003;1;Femmine;75;Italia;Fuori Milano;3
2003;1;Femmine;75;Italia;Milano;11
2003;1;Femmine;76;Italia;Fuori Milano;2
2003;1;Femmine;76;Italia;Milano;11
2003;1;Femmine;77;Italia;Fuori Milano;2
2003;1;Femmine;77;Italia;Milano;11
2003;1;Femmine;78;Italia;Fuori Milano;3
2003;1;Femmine;78;Italia;Milano;11
2003;1;Femmine;79;Italia;Fuori Milano;2
2003;1;Femmine;79;Italia;Milano;13
2003;1;Femmine;80;Italia;Fuori Milano;4
2003;1;Femmine;80;Italia;Milano;13
2003;1;Femmine;81;Italia;Fuori Milano;3
2003;1;Femmine;81;Italia;Milano;16
2003;1;Femmine;82;Italia;Fuori Milano;3
2003;1;Femmine;82;Italia;Milano;23
2003;1;Femmine;83;Italia;Fuori Milano;2
2003;1;Femmine;83;Italia;Milano;20
2003;1;Femmine;84;Italia;Fuori Milano;1
2003;1;Femmine;84;Italia;Milano;6
2003;1;Femmine;85;Italia;Fuori Milano;5
2003;1;Femmine;85;Italia;Milano;15
2003;1;Femmine;86;Italia;Fuori Milano;5
2003;1;Femmine;86;Italia;Milano;20
2003;1;Femmine;86;Svizzera;Milano;1
2003;1;Femmine;87;Italia;Fuori Milano;6
2003;1;Femmine;87;Italia;Milano;16
2003;1;Femmine;88;Italia;Fuori Milano;6
2003;1;Femmine;88;Italia;Milano;21
2003;1;Femmine;89;Italia;Fuori Milano;5
2003;1;Femmine;89;Italia;Milano;22
2003;1;Femmine;90;Italia;Fuori Milano;5
2003;1;Femmine;90;Italia;Milano;22
2003;1;Femmine;91;Italia;Fuori Milano;2
2003;1;Femmine;91;Italia;Milano;28
2003;1;Femmine;92;Italia;Fuori Milano;4
2003;1;Femmine;92;Italia;Milano;19
2003;1;Femmine;93;Italia;Fuori Milano;7
2003;1;Femmine;93;Italia;Milano;18
2003;1;Femmine;94;Italia;Fuori Milano;2
2003;1;Femmine;94;Italia;Milano;18
2003;1;Femmine;95;Italia;Fuori Milano;4
2003;1;Femmine;95;Italia;Milano;12
2003;1;Femmine;96;Italia;Fuori Milano;1
2003;1;Femmine;96;Italia;Milano;15
2003;1;Femmine;97;Italia;Fuori Milano;1
2003;1;Femmine;97;Italia;Milano;11
2003;1;Femmine;98;Italia;Fuori Milano;6
2003;1;Femmine;98;Italia;Milano;8
2003;1;Femmine;99;Italia;Fuori Milano;2
2003;1;Femmine;99;Italia;Milano;6
2003;1;Femmine;100;Italia;Fuori Milano;1
2003;1;Femmine;100;Italia;Milano;4
2003;1;Femmine;101;Italia;Milano;3
2003;1;Femmine;102;Italia;Milano;3
2003;1;Maschi;0;Italia;Milano;6
2003;1;Maschi;19;Italia;Fuori Milano;1
2003;1;Maschi;25;Italia;Milano;1
2003;1;Maschi;26;Italia;Fuori Milano;1
2003;1;Maschi;27;Italia;Milano;1
2003;1;Maschi;29;Italia;Fuori Milano;1
2003;1;Maschi;30;Italia;Fuori Milano;1
2003;1;Maschi;30;Italia;Milano;1
2003;1;Maschi;32;Italia;Milano;1
2003;1;Maschi;33;Italia;Fuori Milano;1
2003;1;Maschi;36;Italia;Fuori Milano;1
2003;1;Maschi;36;Italia;Milano;1
2003;1;Maschi;38;Italia;Fuori Milano;1
2003;1;Maschi;38;Sri Lanka (ex Ceylon);Milano;1
2003;1;Maschi;40;Italia;Fuori Milano;2
2003;1;Maschi;41;Italia;Fuori Milano;1
