"Cittadinanza";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
"Afghanistan";22,00;25,00;23,00;20,00;29,00;28,00;23,00;21,00;13,00;13,00;12,00;12,00;7,00;0,00;12,00;13,00;9,00;9,00;9,00;9,00;9,00;10,00;9,00;10,00;3,00;3,00;11,00;15,00;23,00;31,00;60,00;104,00;101,00;165,00;148,00;198,00
"Albania";34,00;30,00;28,00;27,00;31,00;28,00;26,00;23,00;22,00;20,00;19,00;19,00;62,00;0,00;242,00;338,00;438,00;531,00;837,00;1367,00;1576,00;2205,00;2997,00;3240,00;2861,00;3672,00;4273,00;4475,00;4529,00;4608,00;5012,00;5283,00;5441,00;5805,00;5746,00;5362,00
"Algeria";76,00;86,00;127,00;147,00;143,00;139,00;142,00;136,00;74,00;81,00;88,00;102,00;56,00;0,00;218,00;239,00;235,00;251,00;316,00;452,00;478,00;519,00;594,00;548,00;378,00;450,00;520,00;549,00;574,00;599,00;631,00;667,00;667,00;678,00;633,00;520,00
"Altre nazioni o n.d.";7578,00;7606,00;7722,00;7744,00;400,00;0,00;0,00;0,00;168,00;164,00;161,00;155,00;0,00;201,00;15,00;144,00;132,00;120,00;0,00;0,00;3,00;3,00;3,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"Andorra";0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"Angola";3,00;1,00;1,00;1,00;2,00;3,00;3,00;3,00;1,00;1,00;2,00;8,00;20,00;0,00;25,00;28,00;30,00;29,00;33,00;37,00;41,00;39,00;53,00;61,00;53,00;54,00;50,00;46,00;46,00;41,00;45,00;44,00;45,00;52,00;51,00;46,00
"Antigua e Barbuda";0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;1,00;1,00;3,00;0,00;1,00;1,00;0,00;0,00;0,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"Apolide";0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;79,00;75,00;73,00;67,00;0,00;0,00;54,00;56,00;52,00;46,00;45,00;44,00;38,00;35,00;34,00;28,00;11,00;10,00;11,00;12,00;11,00;12,00;13,00;14,00;15,00;13,00;16,00;16,00
"Arabia Saudita";7,00;7,00;9,00;10,00;11,00;8,00;8,00;7,00;7,00;7,00;7,00;7,00;6,00;0,00;4,00;4,00;4,00;4,00;5,00;4,00;5,00;5,00;5,00;5,00;1,00;1,00;2,00;3,00;3,00;3,00;3,00;3,00;2,00;3,00;3,00;3,00
"Area Ex-Urss";33,00;31,00;40,00;36,00;71,00;75,00;81,00;88,00;46,00;59,00;63,00;80,00;151,00;0,00;194,00;229,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"Argentina";224,00;237,00;262,00;299,00;386,00;383,00;375,00;361,00;376,00;401,00;411,00;501,00;412,00;601,00;572,00;569,00;565,00;541,00;545,00;572,00;577,00;585,00;626,00;654,00;418,00;506,00;552,00;571,00;552,00;525,00;543,00;582,00;618,00;661,00;626,00;480,00
"Armenia";0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;4,00;6,00;9,00;12,00;14,00;12,00;12,00;21,00;22,00;25,00;25,00;26,00;36,00;42,00;46,00;54,00;49,00
"Australia";51,00;58,00;64,00;57,00;80,00;86,00;95,00;85,00;85,00;88,00;93,00;88,00;53,00;0,00;109,00;111,00;118,00;124,00;129,00;135,00;136,00;147,00;156,00;155,00;80,00;95,00;106,00;114,00;114,00;121,00;121,00;126,00;145,00;148,00;152,00;111,00
"Austria";503,00;505,00;466,00;447,00;558,00;526,00;512,00;501,00;542,00;547,00;529,00;531,00;282,00;506,00;495,00;507,00;502,00;499,00;492,00;533,00;529,00;527,00;543,00;518,00;324,00;326,00;341,00;334,00;325,00;341,00;365,00;365,00;361,00;378,00;346,00;281,00
"Azerbaigian";0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;1,00;2,00;1,00;5,00;19,00;18,00;16,00;9,00;20,00;22,00;23,00;22,00;26,00;26,00;24,00;25,00;25,00;24,00
