Anno;Quartiere;Genere;Ipotesi_alta;Ipotesi_media;Ipotesi_bassa
2013;Adriano;Femmine;41;41;41
2013;Adriano;Maschi;38;38;38
2013;Affori;Femmine;99;99;99
2013;Affori;Maschi;98;98;98
2013;Baggio;Femmine;169;169;169
2013;Baggio;Maschi;166;165;165
2013;Bande Nere;Femmine;352;352;352
2013;Bande Nere;Maschi;296;296;296
2013;Barona;Femmine;113;113;113
2013;Barona;Maschi;99;99;99
2013;Bicocca;Femmine;21;21;21
2013;Bicocca;Maschi;21;21;21
2013;Bovisa;Femmine;53;53;53
2013;Bovisa;Maschi;47;47;47
2013;Bovisasca;Femmine;44;44;44
2013;Bovisasca;Maschi;38;38;38
2013;Brera;Femmine;97;97;97
2013;Brera;Maschi;90;90;90
2013;Bruzzano;Femmine;45;45;45
2013;Bruzzano;Maschi;55;55;55
2013;Buenos Aires - Venezia;Femmine;385;385;385
2013;Buenos Aires - Venezia;Maschi;341;341;341
2013;Centrale;Femmine;85;85;85
2013;Centrale;Maschi;79;79;79
2013;Città Studi;Femmine;266;266;265
2013;Città Studi;Maschi;204;204;204
2013;Comasina;Femmine;48;48;48
2013;Comasina;Maschi;40;40;40
2013;Corsica;Femmine;125;125;125
2013;Corsica;Maschi;103;103;103
2013;De Angeli - Monte Rosa;Femmine;135;135;135
2013;De Angeli - Monte Rosa;Maschi;121;121;121
2013;Dergano;Femmine;83;83;83
2013;Dergano;Maschi;84;84;84
2013;Duomo;Femmine;85;85;85
2013;Duomo;Maschi;83;83;83
2013;Ex OM - Morivione;Femmine;54;54;54
2013;Ex OM - Morivione;Maschi;26;26;26
2013;Farini;Femmine;8;8;8
2013;Farini;Maschi;6;6;6
2013;Forze Armate;Femmine;139;139;139
2013;Forze Armate;Maschi;118;118;118
2013;Gallaratese;Femmine;229;229;229
2013;Gallaratese;Maschi;248;248;248
2013;Garibaldi Repubblica;Femmine;28;28;28
2013;Garibaldi Repubblica;Maschi;16;16;16
2013;Ghisolfa;Femmine;104;104;104
2013;Ghisolfa;Maschi;85;85;85
2013;Giambellino;Femmine;181;181;181
2013;Giambellino;Maschi;155;155;155
2013;Gratosoglio - Ticinello;Femmine;99;99;99
2013;Gratosoglio - Ticinello;Maschi;115;115;115
2013;Greco;Femmine;83;83;83
2013;Greco;Maschi;75;75;75
2013;Guastalla;Femmine;82;82;82
2013;Guastalla;Maschi;80;80;80
2013;Isola;Femmine;111;111;111
2013;Isola;Maschi;95;95;95
2013;Lambrate;Femmine;48;48;48
2013;Lambrate;Maschi;44;44;44
2013;Lodi - Corvetto;Femmine;242;242;242
2013;Lodi - Corvetto;Maschi;196;196;196
2013;Lorenteggio;Femmine;103;103;103
2013;Lorenteggio;Maschi;81;81;81
2013;Loreto;Femmine;215;215;215
2013;Loreto;Maschi;190;190;190
2013;Maciachini - Maggiolina;Femmine;169;169;169
2013;Maciachini - Maggiolina;Maschi;135;135;135
2013;Magenta - S. Vittore;Femmine;98;98;98
2013;Magenta - S. Vittore;Maschi;84;84;84
2013;Maggiore - Musocco;Femmine;21;21;21
2013;Maggiore - Musocco;Maschi;24;24;24
2013;Mecenate;Femmine;143;143;143
2013;Mecenate;Maschi;138;138;138
2013;Navigli;Femmine;86;86;86
2013;Navigli;Maschi;65;65;65
2013;Niguarda - Cà Granda;Femmine;248;248;248
2013;Niguarda - Cà Granda;Maschi;221;221;221
2013;Ortomercato;Femmine;22;22;22
2013;Ortomercato;Maschi;17;17;17
2013;Padova;Femmine;203;203;203
2013;Padova;Maschi;190;190;190
2013;Pagano;Femmine;103;103;103
2013;Pagano;Maschi;89;89;89
2013;Parco Lambro - Cimiano;Femmine;150;150;150
2013;Parco Lambro - Cimiano;Maschi;122;122;122
