Anno;Zona;Genere;Ipotesialta;Ipotesimedia;Ipotesibassa
2013;1;Femmine;534;534;534
2013;1;Maschi;479;479;479
2013;2;Femmine;732;732;732
2013;2;Maschi;673;673;673
2013;3;Femmine;874;874;874
2013;3;Maschi;723;722;722
2013;4;Femmine;966;966;966
2013;4;Maschi;809;809;808
2013;5;Femmine;627;627;626
2013;5;Maschi;587;587;587
2013;6;Femmine;914;914;914
2013;6;Maschi;808;808;808
2013;7;Femmine;1006;1006;1006
2013;7;Maschi;885;885;884
2013;8;Femmine;1114;1114;1114
2013;8;Maschi;1010;1009;1009
2013;9;Femmine;934;934;934
2013;9;Maschi;848;848;848
2014;1;Femmine;521;521;521
2014;1;Maschi;469;469;469
2014;2;Femmine;734;733;733
2014;2;Maschi;665;665;664
2014;3;Femmine;865;864;864
2014;3;Maschi;709;708;708
2014;4;Femmine;955;955;955
2014;4;Maschi;804;804;803
2014;5;Femmine;626;625;625
2014;5;Maschi;586;586;586
2014;6;Femmine;909;909;908
2014;6;Maschi;799;799;799
2014;7;Femmine;1006;1005;1005
2014;7;Maschi;881;879;879
2014;8;Femmine;1113;1113;1113
2014;8;Maschi;1004;1003;1003
2014;9;Femmine;936;936;936
2014;9;Maschi;847;846;846
2015;1;Femmine;502;502;502
2015;1;Maschi;454;454;454
2015;2;Femmine;725;725;725
2015;2;Maschi;659;659;658
2015;3;Femmine;843;843;843
2015;3;Maschi;690;690;690
2015;4;Femmine;942;941;941
2015;4;Maschi;790;788;788
2015;5;Femmine;622;621;621
2015;5;Maschi;585;585;585
2015;6;Femmine;896;896;895
2015;6;Maschi;786;786;786
2015;7;Femmine;986;986;986
2015;7;Maschi;865;864;864
2015;8;Femmine;1107;1107;1107
2015;8;Maschi;983;983;982
2015;9;Femmine;929;929;929
2015;9;Maschi;842;842;842
2016;1;Femmine;493;493;493
2016;1;Maschi;450;449;449
2016;2;Femmine;723;721;721
2016;2;Maschi;659;659;658
2016;3;Femmine;827;825;824
2016;3;Maschi;683;681;681
2016;4;Femmine;923;923;923
2016;4;Maschi;778;776;776
2016;5;Femmine;619;618;618
2016;5;Maschi;584;584;584
2016;6;Femmine;885;886;885
2016;6;Maschi;776;776;776
2016;7;Femmine;977;977;977
2016;7;Maschi;862;861;861
2016;8;Femmine;1092;1090;1090
2016;8;Maschi;976;975;974
2016;9;Femmine;919;919;919
2016;9;Maschi;837;837;837
2017;1;Femmine;486;486;486
2017;1;Maschi;434;434;434
2017;2;Femmine;725;724;724
2017;2;Maschi;649;648;647
2017;3;Femmine;820;820;819
2017;3;Maschi;672;672;672
2017;4;Femmine;921;921;921
2017;4;Maschi;761;759;759
2017;5;Femmine;625;624;624
2017;5;Maschi;579;578;578
2017;6;Femmine;885;885;884
2017;6;Maschi;763;762;762
2017;7;Femmine;972;972;972
2017;7;Maschi;848;845;845
2017;8;Femmine;1087;1086;1086
2017;8;Maschi;956;954;953
2017;9;Femmine;925;924;924
2017;9;Maschi;833;830;829
2018;1;Femmine;475;474;474
2018;1;Maschi;431;430;430
2018;2;Femmine;724;722;722
2018;2;Maschi;649;645;644
2018;3;Femmine;800;799;798
2018;3;Maschi;663;661;661
2018;4;Femmine;902;902;902
2018;4;Maschi;747;747;747
2018;5;Femmine;624;622;622
2018;5;Maschi;584;583;583
2018;6;Femmine;877;877;876
2018;6;Maschi;755;755;755
2018;7;Femmine;962;962;961
2018;7;Maschi;846;845;845
2018;8;Femmine;1078;1078;1078
2018;8;Maschi;955;952;951
2018;9;Femmine;919;919;919
2018;9;Maschi;832;831;830
2019;1;Femmine;466;466;466
2019;1;Maschi;425;424;423
2019;2;Femmine;713;712;712
2019;2;Maschi;638;635;634
2019;3;Femmine;783;783;782
2019;3;Maschi;648;646;646
2019;4;Femmine;889;888;888
2019;4;Maschi;736;731;731
2019;5;Femmine;621;618;618
2019;5;Maschi;579;579;579
2019;6;Femmine;870;868;868
2019;6;Maschi;744;744;744
2019;7;Femmine;951;952;950
2019;7;Maschi;834;833;833
2019;8;Femmine;1069;1069;1069
2019;8;Maschi;939;933;933
2019;9;Femmine;918;918;918
2019;9;Maschi;826;824;823
2020;1;Femmine;463;464;464
2020;1;Maschi;415;414;413
2020;2;Femmine;712;711;711
2020;2;Maschi;636;634;633
2020;3;Femmine;780;780;779
2020;3;Maschi;638;637;637
2020;4;Femmine;882;882;882
2020;4;Maschi;719;718;718
2020;5;Femmine;626;625;625
2020;5;Maschi;573;574;574
2020;6;Femmine;871;869;869
2020;6;Maschi;735;734;734
2020;7;Femmine;955;953;952
2020;7;Maschi;825;821;821
2020;8;Femmine;1069;1069;1068
